What is an endofunction?	a function whose domain and range are the same set.<br><br>crole pg 2
<latex>~\\<br>Let $\mathcal V$ be a symmetric monoidal category and let $\mathcal A$ be a $\mathcal V$-category. How is $\mathcal A^{op}$ defined?<br></latex>	pg 18606, "moreover, to each..." near bottom<br>make sure to define both the composition laws and identities!<br>
<latex>~\\<br>Let $\mathcal V$ be a symmetric monoidal category. Let $\mathcal A$ and $\mathcal B$ be $\mathcal V$-categories. Consider the following statement:\\~\\<br>$$(\mathcal A \otimes \mathcal B)^{op} = \mathcal A^{op} \otimes \mathcal B^{op}$$<br>Prove or disprove.<br></latex>	true. pg 18606, near bottom<br>
<latex>~\\<br>Let $\mathcal V$ be a symmetric monoidal category and let $\mathcal A, \mathcal B$ be $\mathcal V$-categories. For $\alpha : T \to S : \mathcal A \to \mathcal B$, how is $\alpha^{op}$ defined? What is its ``type signature''?<br></latex>	pg 18606, near bottom it is claimed that the definition is evident.<br>
<latex>~\\<br>Explain how, from a functor $T : \mathcal A \otimes \mathcal B \to \mathcal C$, we can obtain the functors $T(A, -) : \mathcal B \to \mathcal C$ for each $A \in \mathcal A$ and $T(-,B) : \mathcal A \to \mathcal C$ for each $B \in \mathcal B$. <br></latex>	pg 18606 bottom / 18605 top<br>
<latex>~\\<br>Let $\mathcal V$ be a symmetric monoidal category, and let $\mathcal A, \mathcal B, \mathcal C$ be $\mathcal V$-categories.\\~\\<br>Suppose that we are given a family of functors $T(A, -) : \mathcal B \to \mathcal C$ indexed by $ob~\mathcal A$ and a family of functors $T(-, B) : \mathcal A \to \mathcal C$ indexed by $ob~\mathcal B$, such that on objects we have $T(A,-)(B) = T(-,B)(A) = T(A,B)$.\\~\\<br>Under what conditions does there exist a functor $T : \mathcal A \otimes \mathcal B \to \mathcal C$ for which these are the partial functors?<br></latex>	pg 18607, figure 1.21<br>
<latex>~\\<br>Verify that, if $T,S : \mathcal A \otimes \mathcal B \to \mathcal C$, a family $\alpha_{AB} : T(A,B) \to S(A,B)$ in $\mathcal C_0$ constitutes a $\mathcal V$-natural transformation $T \to S$ if and only if it constitutes, for each fixed $A$, a $\mathcal V$-natural $T(A,-) \to S(A,-)$, and, for each fixed $B$, a <br>$\mathcal V$-natural $T(-, B) \to S(-,B)$. In other words, $\mathcal V$\emph{-naturality may be verified variable-by-variable}.<br></latex><br>	pg 18607, "It is further easy..."<br><br>
<latex>~\\<br>Consider the following statement:\\~\\<br>If $D$ and $E$ are dcpo's then $D \times E$ ordered as above is a dcpo. The statement also holds when we replace ``dcpo'' by ``cpo''.\\~\\<br>Prove or disprove.<br></latex>	true. pg 24570, prop 1.4.1<br><br>
<latex>~\\<br>Do exercise 1.4.2 on page 24570.<br></latex>	pg 24570<br>
<latex>~\\<br>Let $D, D'$, and $E$ be dcpo's. Consider the following statement:\\~\\<br>A function $f : D \times D' \to E$ is continuous iff for all $x \in D$ the functions $f_x : D' \to E$, and<br>for all $y \in D'$ the functions $f_y : D \to E$, defined by $f_x(y) \doteq f(x,y)$ and $f_y(x) \doteq f(x,y)$,<br>respectively, are continuous.\\~\\<br>Prove or disprove.<br></latex>	true. pg 24570.<br>todo: add impostor?
<latex>~\\<br>Let $D,E$ be dcpo's. Consider the following statement:\\~\\<br>The set $D \to E$ of continuous functions from $D$ to $E$, endowed with the pointwise ordering defined by<br>$$f \leq_{ext} f'~~~~~\dot{\Leftrightarrow}~~~~~\forall x~f(x) \leq f'(x)$$<br>is a dcpo. Moreover, if $E$ is a cpo, then $D \to E$ is a cpo.\\~\\<br>Prove or disprove.<br></latex>	true. pg 24570 prop 1.4.4<br>
Do exercise 1.4.5 on page 24571.<br>	pg 24571<br>
Do exercise 1.4.6 on page 24571<br>	<br>
Do exercise 1.4.7 on page 24571<br>	pg 24571<br>
<latex>~\\<br>Let $D$, $E$ be cpo's, $d \in D$ and $e \in \mathcal K(E)$. Consider the following statement:\\~\\<br>The step function $d \to e$, defined as follows, is compact as an element of the cpo of continuous functions $D \to E$:<br>\begin{center}<br>$(d \to e)(x) = \left \{ \begin{array}{ll} e & \text{if }x \geq d \\ \bot & otherwise \end{array} \right$<br>\end{center}<br>Prove or disprove.<br></latex>	note: A&C's proof makes use of the fact that continuous functions are monotone.<br>true. pg 24571, lemma 1.4.8 (1)<br>todo: add impostor?<br>
<latex>~\\<br>Let $D$, $E$ be algebraic cpo's, $d \in D$ and $e \in \mathcal K(E)$. <br>Define the step function $d \to e$ as follows:<br>\begin{center}<br>$(d \to e)(x) \doteq \left \{ \begin{array}{ll} e & \text{if }x \geq d \\ \bot & otherwise \end{array} \right$<br>\end{center}<br>Consider the following statement:\\~\\<br>$f = \bigvee \{ d \to e \mid (d \to e) \leq f \}$, for any $f$.\\~\\<br>Prove or disprove.<br></latex>	true. pg 24571, lemma 1.4.8 (2)<br>todo: add impostor?<br><br>
<latex>~\\<br>What is a \emph{Scott domain}? What motivates the definition of Scott domains?<br></latex>	pg 24571, bottom paragraph.<br>pg 24572, def 1.4.9 at top<br>
Do exercise 1.4.14 on page 24572. **Note that this references 1.4.10, which contains a MISTAKE: the third condition is not equivalent to the first two, but only the equivalence between the first two conditions is relevant to this exercise.	pg 24572.<br>
Dp exercise 1.4.11 on page 24572<br>	pg 14572<br>
<latex>~\\<br>Suppose that $D$ is a cpo and $E$ is a bounded complete cpo. Let $d,d' \in D$ and $e,e' \in \mathcal K(e)$, and<br>suppose that $d \to e$ and $d' \to e'$ have a common upper bound (i.e. they are consistent). Does the lub $(d \to e) \vee (d' \to \e')$ necessarily exist? If so, what is it?<br></latex>	it exists. pg 24572, above theorem 1.4.12<br>
<latex>~\\<br>What does it mean for a dcpo to be \emph{bounded complete}?<br></latex>	pg 24572, definition 1.4.9<br><br>
<latex>~\\<br>Let $D$ be an algebraic dcpo and $E$ a Scott domain. Consider the following statement:\\~\\<br>$D \to E$ is a Scott domain.\\~\\<br>Prove or disprove.<br></latex>	true. pg 24572, theorem 1.4.12<br>todo: add impostor?<br>
Read remark 1.4.13 on page 24572	pg 24572<br>
Examine exercise 1.4.10 on page 24572. Is the theorem A&C are asking us to prove even correct?<br> 	here is a counterexample to (ii) => (iii):<br>I think perhaps condition (iii) should have included that the non-empty set is lower bounded.<br><latex>~\\<br>Consider the dcpo $(\mathbb Z^{-}, \leq)$ of the negative integers and the standard ordering on negative integers. Clearly each non-empty upper-bounded set has a lub (its maximum). Yet, one can easily construct a non-empty set without a glb, for example the entire set $\mathbb Z^-$.\\<br>pg 24572\\~\\<br>Todo: add some cards asking us to prove (iii) $\Rightarrow$ (i) and (i) $\Rightarrow$ (ii), which has already been done in DetailedNotes.<br></latex><br>
Do exercise 1.4.15 on page 24573.<br>	pg 24573<br>
<latex>~\\<br>Let $\kappa$ be a cardinal. What does $\kappa^+$ denote? <br></latex>	<latex>~\\<br>The smallest cardinal that is strictly greater than $\kappa$. See pg 3708, top paragraph (which is kind of a follow-up to lemma 3.6.6 at the bottom of the previous page).<br></latex>
<latex>~\\<br>What do $\omega_1, \omega_2, \omega_3, \ldots$ denote?<br></latex>	the first cardinal after omega, the second cardinal after omega, etc.<br><br>pg 3708<br>
<latex>~\\<br>Let $\delta$ be a limit ordinal, and let $\langle \kappa_{\xi} \mid \xi < \delta \rangle$ be a strictly increasing sequence of infinite cardinals. Let $\kappa = \lim_{\xi < \delta} \kappa_\xi$. Consider the following statement:\\~\\<br>$\kappa$ is a cardinal.\\~\\<br>Prove or disprove.<br></latex>	true. pg 3708, lemma 3.6.7.<br>todo: add impostor?
<latex>~\\<br>What does Devlin use $\aleph_\alpha$ to denote?<br></latex>	<latex>~\\<br>It means $\omega_{\alpha}$ (the $\alpha_{th}$ cardinal), but interpreted as a \emph{cardinal} rather than an ordinal. See the top of pg 3709.<br></latex>
<latex>~\\<br>What does it mean (from a cardinality perspective) for a set to be \emph{finite}? \emph{countable}? \emph{uncountable}?<br></latex>	pg 3709, "We are now in a position..."<br>
<latex>~\\<br>Consider the following statement:\\~\\<br>The function $\aleph_{(-)} : \text{On} \to \text{On}$ is a normal function.\\~\\<br>Prove or disprove.<br></latex>	<latex>~\\<br>This is a rather straightforward consequence of the definition of $\aleph_{(-)}$. pg 3710.<br></latex>
<latex>~\\<br>Consider the following statement:\\~\\<br>$\omega_\alpha \geq \alpha$ for all $\alpha$\\~\\<br>Prove or disprove.<br></latex>	true. it's because it's a strictly order preserving endofunction on the ordinals. see text below lemma 3.6.8 on pg 3710.<br>
<latex>~\\<br>Let $\langle \kappa_{\alpha} \mid \alpha < \beta \rangle$ be a sequence of cardinal numbers. How is the \emph{cardinal sum} $$\sum_{\alpha < \beta} \kappa_{\alpha}$$ defined?<br></latex>	pg 3710 bottom / 3711 top<br>
<latex>~\\<br>If $\kappa_1$ and $\kappa_2$ are cardinals then what does $\kappa_1 + \kappa_2$ denote?<br></latex>	pg 3711, near top<br>
<latex>~\\<br>Let $\kappa, \lambda, \mu$ be cardinals. Consider the following statement:\\~\\<br>$\kappa + (\lambda + \mu) = (\kappa + \lambda) + \mu$\\~\\<br>Prove or disprove.<br></latex>	true. immediate from the definition of cardinal addition. pg 3711, lemma 3.7.1.<br>
<latex>~\\<br>Let $\kappa, \lambda, \mu$ be cardinals. Consider the following statement:\\~\\<br>$\kappa + \lambda = \lambda + \kappa$\\~\\<br>Prove or disprove.<br></latex>	immediate from the definition of cardinal addition. pg 3711.<br>todo: add impostor?<br><br>
<latex>~\\<br>Let $\langle \kappa_\alpha \mid \alpha < \beta \rangle$ and $\langle \lambda_{\gamma} \mid \gamma < \delta \rangle$ be sequences of cardinals. What does it mean for $\langle \lambda_{\gamma} \mid \gamma < \delta \rangle$ to be a \emph{rearrangement} of $\langle \kappa_\alpha \mid \alpha < \beta \rangle$? <br></latex>	<latex>~\\<br>``rearrangement'' is mentioned without definition on page 3711. I think it means that there is a bijection $f : \beta \leftrightarrow \delta$ such that $\lambda_{f(\alpha)} = \kappa_{\alpha}$ for all $\alpha < \beta$, and <br>$\kappa_{f^{-1}(\gamma)} = \lambda_{\gamma}$ for all $\gamma < \delta$.<br></latex>
<latex>~\\<br>Let $\langle \kappa_{\alpha} \mid \alpha < \beta \rangle$ be any sequence of cardinals, and let $\langle \lambda_{\gamma} \mid \gamma < \delta \rangle$ be a rearrangment of of this sequence. Consider the following statement:\\~\\<br>$$\sum_{\alpha < \beta} \kappa_\alpha = \sum_{\gamma < \delta} \lambda_{\gamma}$$<br>Prove or disprove. <br></latex>	true. pg 3711, lemma 3.7.2.<br>
<latex>~\\<br>Let $\langle \kappa_{\alpha} \mid \alpha < \beta \rangle$ be a sequence of cardinals. What does $\prod_{\alpha < \beta}^\# \kappa_\alpha$ denote?<br></latex>	pg 3711, below lemma 3.7.2<br>
<latex>~\\<br>Let $\kappa_0$ and $\kappa_1$ be cardinals. What does $\kappa_0 \cdot \kappa_1$ denote?<br></latex>	pg 3711, near bottom<br>
<latex>~\\<br>Let $\kappa$ and $\lambda$ be cardinals. Consider the following statement:\\~\\<br>$$\kappa \cdot \lambda = |\kappa \times \lambda|$$<br>Prove or disprove.<br></latex>	true. pg 3711, near bottom.<br>todo: add impostor?<br>
<latex>~\\<br>Let $\kappa$, $\lambda$, $\mu$ be cardinals. Consider the following statement:\\~\\<br>$\kappa \cdot (\lambda \cdot \mu) = (\kappa \cdot \lambda) \cdot \mu$\\~\\<br>Prove or disprove.<br></latex>	<latex>~\\<br>The underlying sets are both isomorphic to $\{ f : 3 \to \kappa \cup \lambda \cup \mu \mid f(0) \in \kappa, f(1) \in \lambda, f(2) \in \mu \}$. The bijections aren't hard to build.\\~\\<br>true. pg 3712, lemma 3.7.3<br></latex>
<latex>~\\<br>Let $\kappa$ and $\lambda$ be cardinals. Consider the following statement:\\~\\<br>$\kappa \cdot \lambda = \lambda \cdot \kappa$\\~\\<br>Prove or disprove.<br></latex>	true. pg 3712, lemma 3.7.3 (ii)<br>todo: add impostor?<br>
<latex>~\\<br>Let $\kappa$, $\lambda$, and $\mu$ be cardinals. Consider the following statement:\\~\\<br>$\kappa \cdot (\lambda + \mu) = \kappa \cdot \lambda + \kappa \cdot \mu$.\\~\\<br>Prove or disprove.<br></latex>	true. pg 3712, lemma 3.7.5<br>todo: add impostor? (what would it even be?)<br><br>
<latex>~\\<br>Let $\kappa$ be a cardinal. Consider the following statement:\\~\\<br>$\kappa + \kappa = 2 \cdot \kappa$\\~\\<br>Prove or disprove.<br></latex>	pg 3712, below lemma 3.7.5<br><br>
<latex>~\\<br>Let $\kappa$ and $\lambda$ be cardinals. What does $\kappa^{\lambda}$ denote?<br></latex>	pg 3712<br>
<latex>~\\<br>Let $\kappa, \lambda, \mu$ be cardinals. Consider the following statement:\\~\\<br>$\kappa^{\lambda} \cdot \kappa^{\mu} = \kappa^{\lambda + \mu}$\\~\\<br>Prove or disprove. <br></latex>	true. pg 3712, lemma 3.7.6 (i)<br>todo: add impostor?<br>
<latex>~\\<br>Let $\kappa, \lambda, \mu$ be cardinals. Consider the following statement:\\~\\<br>$\kappa^{\lambda} \cdot \mu^{\lambda} = (\kappa \cdot \mu)^{\lambda}$\\~\\<br>Prove or disprove. <br></latex>	true. pg 3712, lemma 3.7.6.<br>
<latex>~\\<br>Let $\kappa, \lambda, \mu$ be cardinals. Consider the following statement:\\~\\<br>$(\kappa^\lambda)^\mu = \kappa^{\lambda \cdot \mu}$\\~\\<br>Prove or disprove. <br></latex>	pg 3712, lemma 3.7.6 (iii)<br>todo: add impostor?<br><br>
<latex>~\\<br>Let $\kappa \geq \alpeh_0$. Consider the following statement:\\~\\<br>$\kappa \cdot \kappa = \kappa$\\~\\<br>Prove or disprove.<br></latex>	true. pg 3713, theorem 3.7.7.<br>
<latex>~\\<br>Let $\kappa \geq \aleph_0$. Consider the following statement:\\~\\<br>$\kappa \cdot \kappa > \kappa$\\~\\<br>Prove or disprove.<br></latex>	IMPOSTOR. pg 3713, theorem 3.7.7<br>
<latex>~\\<br>Let $\kappa, \lambda$ be cardinals, $1 \leq \kappa \leq \lambda$, $\lambda \geq \alpeh_0$. Consider the following statement:\\~\\<br>$\kappa + \lambda = \lambda$\\~\\<br>Prove or disprove.<br></latex>	true. pg 3714, corollary 3.7.8 (yes, the other half has a card too).<br>todo: add impostor?<br>
<latex>~\\<br>Let $\kappa, \lambda$ be cardinals, $1 \leq \kappa \leq \lambda$, $\lambda \geq \alpeh_0$. Consider the following statement:\\~\\<br>$\kappa \cdot \lambda = \lambda$\\~\\<br>Prove or disprove.<br></latex>	true. pg 3714, corollary 3.7.8. (yes, the other half of this corollary also has a card)<br>todo: add impostor?<br>
Consider the following sentence:<br><br>Some scientists, because they write in a style that is impersonal and abstract, do not easily communicate with laypeople.<br><br>Is this a good sentence? If not, explain why, and describe how would you revise it.	it is bad<br>pg 32650 left
Consider the following sentence:<br><br>Since some scientists write in a style that is impersonal and abstract, they do not easily commuinicate with laypeople.<br><br>Is this a bad sentence? If so, explain why, and propose a way to improve it.	This is actually used as an example of a good sentence.<br><br>pg 32650 left<br>
Suppose that we want to revise the following sentence:<br><br>Some scientists, because they write in a style that is impersonal and abstract, do not easily communicate with laypeople.<br><br>To either:<br><br>Since some scientists write in a stile that is impersonal and abstract, they do not easily communicate with laypeople.<br><br>Or:<br><br>Some scientists do not easily communicate with laypeople because the write in a style that is impersonal and abstract.<br><br>Why are the latter two sentences preferable to the orinial? How would we decide which one to choose?	pg 32650 left. we decide based on whichever flows better with surrounding context, as demonstrated by the examples.<br><br>
Consider the following sentence:<br><br>We must develop, if we are to become competitive with other companies in our region, a core of knowledge regartding the state of the art in effective industrial organizations.<br><br>Is this sentence good or bad. If it's bad, explain why, and propose a better version.	pg 32650 bottom left / top right<br><br>
Read the point on pg 32650 right that begins with "When a prepositional phrase..."	pg 32650 right<br>
Do exercises 1-3 on page 32650.<br>	<br>
Do exercises 4-6 on page 32651 left.<br>	pg 32651 left<br>
Do exercises 7-9 on page 32651 left.<br>	pg 32651 left<br>
This sentence starts well, but then sprawls through a string of four explanatory subordinate clauses:<br><br>No scientific advance is more exciting than genetic engineering, which is a new way of manipulating the elemental structural units of life itself, what are the genes and chromosomes that tell our cells how to reproduce to become the parts that constitute our bodies.<br><br>One technique for revising text such as this is known as "cutting". What is cutting? Cut the above passage.<br>	pg 32651 right.<br>
Consider the following sentence:<br><br>The day is coming when we will all have numbers that will identify our financial transactions so that the IRS can monitor all activities that involve economic activities. <br><br>What is wrong with this sentence, and how would you revise it?	pg 32651, right<br><br>
Consider the following sentence:<br><br>Of the many areas of science important to our future, few are more promising than genetic engineering, a new way of manipulating the elemental structural units of life itself, the genes and chromosomes that tell our cells how to reproduce to become the parts that constitute our bodies.<br><br>What is wrong with this passage, and how would you fix it?	pg 32651 right, "2. Turn subordinate clauses into independent sentences"<br>
What is a <i>resumptive modifier</i>? Why are they useful?	pg 32652 left. they allow us to replace relative clauses.<br>
Read the idea presented on pg 32652 left, starting with "You can also resume with an adjective or verb..."<br>	pg 32652<br>
Give the type formation rule for subset types.	pg 10251<br>
<latex>~\\<br>Give the introduction rule for subset types.<br></latex>	pg 10251<br>
<latex>~\\<br>Give both the typing rule and the logical rule for the elimination of subset types.<br></latex>	pg 10251 bottom<br>
<latex>~\\<br>Give the two term conversion rules for subset types.<br></latex>	pg 10251 bottom<br>
What does it mean for a system to have <i>full subset types</i>? Why are full subset types useful?	pg 10252<br>
Give a brief, non-technical explanation of the difference between simple predicate logic (SPL) and dependent predicate logic (DPL).	pg 10252, "Notice that in the above type formation rule..."
<latex>~\\<br>Let $Y \in \mathbb E$, i.e. an object of the total category of a fibration. What is the \emph{extent} of $Y$?<br></latex>	pg 10253, top two paragraphs.<br><br>
<latex>~\\<br>Let $J$ be an object of the base category (i.e. a ``type''). Under what conditions can we say that a generalized element $k : I \to J$ is a member of the subset type $\{ Y \}$?<br></latex>	pg 10253, to the left of (*)
<latex>~\\<br>What does it mean for a preorder fibration $\vrt{\mathbb E}{\mathbb B}p$ with terminal object functor $\top : \mathbb B \to \mathbb E$ to have \emph{subsets} (or \emph{subset types})?<br></latex>	pg 10253, def 4.6.1<br>
<latex>~\\<br>A fibration with subset types has a family of maps $\pi_X : \{ X \} \to pX$ for each $X \in \mathbb E$. How is the family $pX$ defined, and intuitively what is its meaning?<br></latex>	pg 10253, def 4.6.1<br>
<latex>~\\<br>What does it mean, categorically, for a fibration to have \emph{full subset types}?<br></latex>	pg 10253, def 4.6.1<br>
<latex>~\\<br>Let $\vrt{\mathbb E}{\mathbb B}p$ be a preorder fibration with subset types. Consider the following statement:\\~\\<br>Each projection morphism $\pi_X : \{ X \} \to pX$ in $\mathbb B$ is monic.\\~\\<br>Prove or disprove.<br></latex>	true. pg 10254, lemma 4.6.2.<br>
<latex>~\\<br>Let $\vrt{\mathbb E}{\mathbb B}p$ be a preorder fibration with subset types. Consider the following statement:\\~\\<br>For each map $u : I \to J$ in $\mathbb B$ and object $Y \in \mathbb E$ over $J$, there is a bijective correspondence<br>\begin{prooftree}<br>\AxiomC{$\top \leq u^*(Y)$~~~~~over $I$}<br>\doubleLine<br>\UnaryInfC{$u \longrightarrow \pi_Y$~~~~in $\mathbb B/J$}<br>\end{prooftree}<br>Prove or disprove.<br></latex>	true. pg 10254, lemma 4.6.2 (ii)<br>
<latex>~\\<br>Let $\vrt{\mathbb E}{\mathbb B}p$ be a preorder fibration with subset types. Consider the following statement:\\~\\<br>The assignment $X \mapsto \pi_X$ extends to a functor $\mathcal P : \mathbb E \to \mathbb B^{\to}$ which maps Cartesian morphisms to pullback squares. This functor restricts to $\mathbb E \to \text{Sub}(\mathbb B)$ by (i).\\~\\<br>Prove or disprove.<br></latex>	true. pg 10254, lemma 4.6.2 (iii)<br>todo: add impostor?
Read the proof of lemma 4.6.2 on page 10254 - 10255<br>	pg 10254<br>
<latex>~\\<br>Let $\vrt{\mathbb E}{\mathbb B}p$ be a fibration. Prove that $p$ is preordered (i.e. all its fibre categories are preorders) if and only if above each map $pX \to pY$ in $\mathbb B$ there is at most one arrow $X \to Y$ in $\mathbb E$ (i.e. if $p$ is faithful). Conclude that in the total category of a preorder fibration, a vertical morphism is monic.<br></latex>	<latex>~\\<br>$(\Leftarrow)$ is dead simple, so we focus on $(\Rightarrow)$.<br>Let $f,f' : X \rightrightarrows Y \in \mathbb E_1$. All arrows in a total category can be decomposed into a vertical arrow and a Cartesian arrow; for some $g,g'$ vertical above $pX$ and $h : X \to Y$, $h' : X' \to Y$ Cartesian, we have $f = g;h$ and $f' = g';h'$.<br>\begin{center}<br>\begin{tikzcd}<br> & Z \ar[dr, "h"] & \\<br>X \ar[ur, "g" above] \ar[dr, "g'" below] & & Y \\<br> & Z' \ar[ur, "h'" below] &<br>\end{tikzcd}<br>\end{center}<br>Since $h'$ is Cartesian and $p(h) = p(g;h) = pf = pf' = p(g';h') = p(h')$ we have a vertical arrow $r : Z \to Z'$ such that $r;h' = h$. <br>\begin{center}<br>\begin{tikzcd}<br> & Z \ar[dr, "h"] \ar[dd,"r" right] & \\<br>X \ar[ur, "g" above] \ar[dr, "g'" below] & & Y \\<br> & Z' \ar[ur, "h'" below] &<br>\end{tikzcd}<br>\end{center} <br>Because the fibration is preordered, there is a unqiue arrow between any pair of objects in the fibration over $pX$.<br>Thus, $g;r = g'$. Hence, $f' = g';h' = g;r;h' = g;h$.\\~\\<br>pg 10026, exercise 1.3.11 at top<br>(yes, I know this is in a different chapter: it's relevant to the current one.)<br></latex>
<latex>~\\<br>Let $\mathbb B$ be a category with finite products. Consider the following statement:\\~\\<br>The simple fibration $\vrt{s(\mathbb B)}{\mathbb B}$ on $\mathbb B$ has fibred finite products.\\~\\<br>Prove or disprove.<br></latex>	<latex>~\\<br>true. the product of $(I,X)$ and $(I,Y)$ is $(I, X \times Y)$. For $u : I \to J \in \mathbb B$ we have<br>$u^*(J,X) = (I,X)$ and $\overline u (J,X) = (u, \pi')$.\\~\\<br>pg 10137, near top<br></latex>
<latex>~\\<br>What does it mean for a category to have \emph{coproducts with simple parameters}?<br></latex>	pg 10137<br>
<latex>~\\<br>Let $\mathbb B$ be a category with binary products $\times$ and coproducts $+$. Consider the following statement:\\~\\<br>The following statements are equivalent:<br>\begin{itemize}<br>\item $\mathbb B$ has coproducts with simple parameters<br>\item The simple fibration $\vrt{s(\mathbb B)}{\mathbb B}$ has fibred coproducts.<br>\item $\mathbb B$ has distributive coproducts: the canonical maps <br>$$(I \times X) + (I \times Y) \longrightarrow I \times (X + Y)$$ are isomorphisms.<br>\end{itemize}<br>Prove or disprove.<br></latex>	true. pg 10137, prop 2.6.1<br>
<latex>~\\<br>What does it mean for a category with finite products to have a \emph{natural numbers object}?<br></latex>	pg 10138<br>
<latex>~\\<br>What does it mean for a category with finite products to have a \emph{natural numbers object with parameters}?<br></latex>	<latex>~\\<br>pg 10138. Note that the definition should say $f : I \times 1 \to X$ rather than $x : I \times 1 \to X$.<br></latex><br>
<latex>~\\<br>What does it mean for a fibration with a fibred terminal object to have a \emph{fibred natural numbers object}?<br></latex>	pg 10139, def 2.6.2<br><br>
<latex>~\\<br>Consider the following statement:\\~\\<br>For a category $\mathbb B$ with finite products, the following statements are equivalent.<br>\begin{itemize}<br>\item $\mathbb B$ has an NNO with simple parameters<br>\item $\mathbb B$ has an NNO $0,S$ and for each $I \in B$, the functor $I^* : \mathbb B \to \mathbb B / \! \! / I$ applied to $0,S$ yields an NNO $I^*(0)$, $I^*(S)$ in the simple slice $\mathbb B / \!  \! / I$ over $I$.<br>\item The simple fibration $\vrt{s(\mathbb B)}{\mathbb B}$ on $\mathbb B$ has a fibred NNO.<br>\end{itemize}<br>Prove or disprove.<br></latex>	pg 10139. prop 2.6.3.<br>
<latex>~\\<br>Let $D,E$ be dcpo's. What does it mean for a partial function $f : D \rightharpoonup E$ to be \emph{continuous}?<br></latex>	pg 24573, def 1.4.17 (1)<br>
<latex>~\\<br>Let $D,D'$ and $E$ be cpo's. What does it mean for a continuous function $f : D \to E$ to be \emph{strict}?<br>What does it mean for a function $f : D \times D' \to E$ to be \emph{left-strict}? What does it mean for $f$ to be \emph{right-strict}?<br></latex>	pg 24573, def 1.4.17 (2)<br>
<latex>~\\<br>Let $D,E$ be dcpos. Consider the following statement:\\~\\<br>The following sets are in bijective correspondence.<br>\begin{itemize}<br>\item The set of partial continuous functions from $D$ to $E$<br>\item The set of continuous functions from $D$ to $E_{\bot}$<br>\item the set of strict continuous functions from $D_{\bot}$ to $E_{\bot}$<br>\end{itemize}<br>Prove or disprove.<br></latex>	true. pg 24573 bottom / pg 24574 top<br>todo: add impostor?
<latex>~\\<br>Consider the following statement:\\~\\<br>The lifting of a dcpo is a cpo. Lifting is right adjoint to the inclusion functor from $\mbf{Dcpo}$ to the category $\mbf{Pdcpo}$ of dcpo's and partial continuous functions.\\~\\<br>Prove or disprove.<br></latex>	pg 24574. prop 1.4.18 (1)<br><br>todo: add impostor?
<latex>~\\<br>Consider the following statement:\\~\\<br>The lifting functor is faithful, and its image is the category $\mbf{Scpo}$ of cpo's and strict continuous functions.\\~\\<br>Prove or disprove.<br></latex>	true. pg 24574, prop 1.4.18 (2)<br>todo: add impostor?<br>
<latex>~\\<br>Consider the following statement:\\~\\<br>Lifting is left adjoint to the inclusion functor from $\mbf{Scpo}$ to $\mbf{Cpo}$.\\~\\<br>Prove or disprove.<br></latex>	true. pg 24574, prop 1.4.18<br>
<latex>~\\<br>Let $D$ and $E$ be two cpo's. How do we define their \emph{smash product} $D \otimes E$?<br></latex>	pg 24574, def 1.4.20<br>
<latex>~\\<br>Consider the following statement:\\~\\<br>The smash product of two cpo's $D,D'$ is a cpo, and the function $\otimes : D \times D' \to D \otimes D'$ defined as follows is continuous:<br>$$ \otimes(x,x') \doteq \left \{ \begin{array}{ll} (x,x') & \text{if } (x,x') \in D \otimes D' \\ (\bot,\bot) & \text{otherwise} \end{array} \right$$<br>Prove or disprove.<br></latex>	true. pg 24575, prop 1.4.21 (1). The definition may seem confusing at first. Note that we are converting a standard product into a smash product: if either the left or right component is bottom, it maps to the result bottom. Otherwise, it behaves as an identity function.<br>
<latex>~\\<br>The smash product of two cpo's $D,E$ is a cpo, and the function $\otimes : D \times E \to D \otimes E$ defined as follows is continuous:<br>$$ \otimes(x,x') \doteq \left \{ \begin{array}{ll} (x,x') & \text{if } (x,x') \in D \otimes E \\ (\bot,\bot) & \text{otherwise} \end{array} \right$$<br>Consider the following statement:\\~\\<br>The function $\otimes$ is universal in the following sense: for any $E$ and any continuous function $f : D \times D' \to E$ that is both left-strict and right-strict, there exists a unique strict continuous function $\hat{f} : D \otimes D' \to E$ such that $\hat{f} \circ \otimes = f$.\\~\\<br>Prove or disprove.<br></latex>	<latex>~\\<br>Let $g : D \otimes D' \to E$ such that $(g \circ \otimes) = f$. If neither $d = \bot$ nor $d' = \bot$ then $\otimes(d,d') = (d,d')$, and so $g(d,d') = f(d,d')$. Otherwise $d = d' = \bot$, and since $g$ is strict, we must have $g(d,d') = g(\bot,\bot) = \bot$. TODO: show that this function $g$ is continuous (not hard, really).<br>pg 24575, prop 1.4.21 (2)<br></latex>
<latex>~\\<br>List the base types of $IA^+$<br></latex>	pg 26812 bottom right<br>pg 26813 top left<br>
<latex>~\\<br>Give the syntax of \emph{phrase types} for $IA^+$.<br></latex>	pg 26813, top-left<br>
<latex>~\\<br>Is $IA^+$ call-by-value or call-by-name? Does it accomodate the other technique somehow?<br></latex>	pg 26813 left column, "Our interepretation..."
<latex>~\\<br>What does a class definition look like in $IA^+$?<br></latex>	pg 26813, bottom left, top right<br>
<latex>~\\<br>In $IA^+$, what does $\mathit{Var}[\delta]$ denote? What is $\mathit{var}[\delta]$ an abbreviation for?<br></latex>	pg 26813, top right<br>
